gene,average,median,max,min,growth_correlation
b3589,0.9859689074941004,0.990535719331999,2.82034047829501,0.0,-0.2652454283431444
b3590,7.221892173923497,7.17947032677857,9.23157752740448,5.95857357320227,0.43826962539332276
b3591,6.923664502521951,6.80740665705738,8.81892194052011,5.54300865365527,0.5301599895385332
b3592,6.382786117180196,6.3817843482882,8.2781546770364,4.11233981308174,-0.4477820806497325
b3593,2.9682723919630707,2.90391594184574,4.45057536138432,1.9202807370804,-0.07876813729868858
b3594,3.6196953636784537,3.6673331276944,5.61795585844307,0.0,-0.37563185793291604
b3595,2.7498908458417537,2.73085611758112,5.34822208499149,0.921242654942661,-0.16595791576698676
b3597,3.8032659422768447,3.80057598337812,6.03325959221427,1.69575808752014,-0.49050582558395567
b3598,3.4313475345951403,3.47380808176805,6.42043082025667,0.0,-0.3993666234098936
b3599,6.853485572853436,6.76054972171387,11.932604181017,5.389616159556,-0.2672482920587029
b3600,7.58122176725622,7.45570909823387,11.3386359619523,6.42360041544415,-0.2445834705654879
b3601,6.4786139233059385,6.2934127596604,9.75807095236972,5.08554452618968,-0.25509516253052844
b3602,7.265722331182907,7.2096321281584,9.57598740853089,5.83315316535821,0.3504689446681238
b3603,5.231638309249221,4.93189764852302,8.97271095204289,1.50228792844439,-0.5749900141706477
b3604,4.531987200712074,4.39672922992962,7.88869728800508,1.48632585757746,-0.5344687631417594
b3605,5.311050162586574,5.2440903921497,8.34584319173183,2.51194505247132,-0.5038842372478874
b3606,5.004836229066081,4.95039144274348,7.12165778842729,2.93363011758762,0.028883968757489675
b3607,7.715965317814914,7.77402622439763,9.80075769707086,5.85498792615597,-0.4661265364665352
b3608,8.003406725674353,7.95264932952243,10.4361023629124,5.5612160002343,-0.2965762372192153
b3609,9.456735688785301,9.39724867134635,11.9134035717417,8.69186288365963,-0.14576568348433988
b3610,7.065920876312295,6.80288085733831,9.76435862520813,5.45316990821624,-0.006508949093924009
b3611,8.89604981940248,8.89050835580284,11.3242301266918,7.46656120696547,-0.3486976758853071
b3612,9.227804947102896,9.02147914464187,12.9647785080112,5.7788258979713,0.5368196355838748
b3613,7.119181976552303,7.12159553257417,9.40526096425385,5.59232847561294,0.19438979367022347
b3614,5.566587339491274,5.69027620970275,7.74001408534477,2.79087815140548,-0.11212200947668956
b3615,1.9998756146072114,1.91456625420906,5.27454316229826,0.214135158305292,-0.4424184283865826
b3616,6.895732109172925,6.68860555403257,10.2676490139743,5.72286991853075,-0.09936956976480033
b3617,6.12718483693441,5.9164819408576,9.70019361773247,4.62893053218913,-0.11630906631146311
b3618,6.428894622624835,6.5119203236696,8.47005782365718,3.43687697887268,-0.22808215438525486
b3619,8.813259071849048,8.78871191684763,10.5773689185111,8.01899456723748,0.3577893388850659
b3620,7.227466433371029,7.22749456577806,9.13702430821264,5.36368697248683,0.201274325935373
b3621,6.244677622019859,6.35343687235166,8.46918661177308,3.74771703353356,0.005006616409021869
b3622,6.070154359186556,6.21603675873201,8.10230509866253,2.03665801509184,-0.15953938484391333
b3623,6.378837099850444,6.5034941118931,8.08059167973066,2.69502294859188,-0.025510675460371442
b3624,5.9506437105911,6.07274581449289,7.45118057107747,3.41374022762247,-0.07178739082609545
b3625,6.197510113956634,6.26852507932754,7.69459128216406,4.00036040293182,-0.053840543119571586
b3626,6.484720957335939,6.65905553841528,8.03355428607994,3.11889855736041,-0.016825894229440246
b3627,6.443413542170819,6.57512305500104,8.27379380926051,3.49656153650639,-0.06539899929330557
b3628,6.632261624333104,6.77325265591989,8.47219730052182,5.14007453520884,-0.08955687981287394
b3629,5.9646940296357736,6.14511659895946,8.36304957202976,1.27883142006366,-0.01994184350182987
b3630,6.37927798596839,6.45738306997618,8.22641485639528,5.0650426144453,-0.012381493369938082
b3631,6.579402024194283,6.60438989367513,8.52892762356717,4.94539776014519,0.0880406366401486
b3632,6.734147707033232,6.73959893635725,8.65179324197441,5.71709388618436,0.10323204855036662
b3633,6.535770105259548,6.52788597163438,8.76966236741003,4.91349141538447,0.03482838388725678
b3634,5.669024181147889,5.60541612029602,8.06009307484416,4.31140650002146,-0.09944839586246496
b3635,4.419774955869009,4.39983247345452,7.14073777950244,1.59207985096031,-0.06773943886955358
b3636,7.9940096413897095,7.75571250882235,12.2992359265848,4.63988446000927,-0.10270808684236063
b3637,9.635121517014129,9.68908149573462,12.9238800115989,7.03340714118334,-0.11848837607042609
b3638,4.1104239895289725,3.99336024280512,7.35323007340153,1.1567046327354,-0.39921593082977874
b3639,7.491248715394647,7.38356561394525,9.33758098938486,6.50185041282495,0.3763876611046415
b3640,7.711258803072351,7.66796406859901,9.92196282515638,6.41068048949288,0.30346772472827643
b3641,7.587262780472946,7.61952815842736,9.81811664502876,6.12035941869244,0.35266448332954714
b3642,4.701707904015419,4.49840159921529,8.1344490711384,2.09942516457081,0.17495452376662066
b3643_1,6.63599809021577,6.7712641842642,9.49451465264288,3.91375089471375,-0.04054559438257881
b3644,7.692563424831611,7.64252460321808,9.66036162012906,6.65729102315658,0.19565912568408755
b3645,3.730095766749843,3.59404215740702,6.70110362474133,2.09835783690331,-0.4277544558063263
b3646,2.6512371240507537,2.55686742249876,6.13234225776696,0.847082433873435,0.15841727215951112
b3647,3.03773712043965,2.91341874089843,5.54552111507954,1.58893612548562,-0.35832489266625794
b3648,8.48080882217078,8.43954418131085,9.8548259247947,7.45539126646707,0.17312181699591828
b3649,8.21138550559619,8.13049089976058,10.9617705234413,6.64328004159448,0.003915802322221781
b3650,8.3237292558451,8.35507698438483,10.2818387908761,7.07628608209762,0.14120652110029658
b3651,6.527018549878497,6.57110026747795,8.9727872305308,4.17488382079118,-0.06377958666922509
b3652,6.023045100131516,6.09299554972566,8.16615369004379,3.56216044518549,-0.02152647990635242
b3653,5.6510830202257,5.75570853054951,7.2887147686075,3.94804178635886,-0.0790185260795056
b3654,7.563025430940724,8.09650231262258,10.7723617686752,3.1802906438278,-0.23223675341510772
b3655,7.031562372220968,6.98782294017241,8.54543838785609,5.79825793817646,0.2073137960652651
b3656,3.7713147990538025,3.52550554244794,9.07080022758139,2.32993573915014,-0.03064828229639481
b3657,2.3009880862240992,1.93752571261595,9.0901464858055,0.0,-0.16358038155654367
b3659,1.7419702495450726,1.70652695765586,3.61982774634494,0.0,-0.35641136772069193
b3660,5.173857649842749,5.20862545959134,6.72607661532661,2.88222799544641,-0.22548668919891546
