log-TPM	omics__bw_glc	cra_crp__wt_fru	rpoB__rpoBE546V_lb	42c__wt_42c	42c__42c_ale1	42c__42c_ale10	ssw__wt_ac	ssw__wt_glc	ssw__wt_glyc	ssw__wt_xyl	ssw__xyl_ale1	ssw__glc_ac_glc2	ssw__glc_glyc_glc	ssw__glc_xyl_xyl	pgi__glu4_delpgi	pgi__pgi_ale2	ica__arg_sbt	ica__cytd_rib	ica__gth	ica__no3_anaero	ica__bw_delpurR_cytd	ytf__delyiaJ	ytf__delybiH	fps__fps_serB_ale4	pal__lyx_ale2_f6	pal__5drib_ale10	pal__tartr_ale26_f10	pal__tartr_ale28	efeU__menFentC_ale29	efeU__menFentCubiC_ale38
b3344	5.555732239464305	5.051429656525174	5.16081976322835	4.84886295203242	4.86907923039014	5.76198656165298	5.58308681261121	6.20572033103898	6.47097931767918	6.21232844227829	4.91728151800788	5.51951125586979	4.28717549617368	5.25338285859871	5.1811975273998	3.99100790040119	4.4474997751530445	4.613067502579225	4.98293997236255	5.972049767298955	4.80251266208367	4.998360432216485	4.7759147209895545	6.266168565228664	5.87499431446511	5.46424070096099	5.493261744230875	5.372521551260345	3.714998625402695	5.605753640772676
b3345	6.396980127472795	5.92145238886666	6.282122344825375	6.77125114503281	5.8454548446854	6.64557750125769	7.0004952094809	7.0471290750151	6.91714142631551	7.31191431028302	6.72182070402538	7.03712914791887	5.53112331990215	6.70980907595445	6.76633945885218	5.90498196881593	5.73523889891689	5.96467749716182	6.99729841788369	7.143827140084165	6.341293642489375	6.662863912245475	6.09928892430097	7.2279035958582245	6.82307079784199	6.96550060895895	6.647912010386265	6.785302286127285	4.71374165960564	7.081158875343295
b3346	7.606651561410764	8.606452664419376	7.432862635221555	7.75059327924563	7.38275986593175	7.87651299286607	7.68125929209463	8.10318493924355	7.51383044269902	8.05019095077104	7.29247170444845	7.56426476113805	6.72091923932911	7.4938851008463	7.50989520707616	8.50461415236352	6.97565144800609	7.331666410861855	7.941114109891915	8.057906347904314	7.149390781025986	8.07035051000463	7.63970303104263	8.370317600886214	7.57921670897189	7.67771209187884	7.39068103041927	7.303760005227645	6.866039403240659	8.27706393083264
b3347	9.219125164617619	8.86911640963313	9.047357731131715	8.91327787262803	8.70947311785665	8.08990802072069	8.86386988003327	9.3349182197673	8.77273575516148	9.11654652243346	9.1973911041677	9.43494958249029	8.72819894664097	9.13659340972472	8.89569109270516	9.12985660963802	9.05122516416172	8.3269192901395	7.960169964380309	9.58867999001657	9.50732669308063	8.908155018066676	8.584683337664655	9.25002657939028	8.80967181064614	8.8603008196697	9.0165849855892	8.963861119066845	8.64781191743186	9.729405964232356
b3348	7.074985965640455	2.4046617280938256	4.350614278537559	3.21710802375888	5.17334959040782	6.25454443343138	6.82055758378552	5.26059699671275	6.39580805724444	4.64418614156179	6.59819247984544	5.91319068126099	6.5559430770929	5.24812783333072	5.00068878746957	3.72522334410144	3.73332075226546	4.19185279760968	5.7150270108589645	4.86632517330421	4.9024976266166895	5.01852072315565	5.176615589356905	5.368324873676659	5.71790033930867	5.34215638432097	5.325094610849725	6.06717850383445	4.026397330738645	4.630862389518535
b3349	10.3349861298651	8.710924327970005	10.3599840901092	9.5575333838797	9.83145116175166	9.85992032036942	9.73007118354877	9.77215541190796	10.0888641133646	10.520139074967	10.3138057464963	10.6079286440417	9.9698223494424	10.2632330656704	9.66404584780839	9.70113274239032	9.62271775227859	9.891861229355289	11.293405595768949	10.6355765412409	10.1991924651336	10.244455783508599	10.3412515791209	10.174315438306401	9.9146797540862	9.88313528305091	9.835225370907096	10.05871041230533	10.38588149556705	10.58520883493445
b3350	5.31179748527842	4.509360487383621	4.4802935227697	4.47370808196371	4.01854312508534	3.6611327103642	4.76247216264995	4.52642761333344	4.7553820036813	4.18932891622804	5.11580072938515	3.49519846370835	4.60648037838249	4.43773304590551	5.39346132211972	5.54746785747066	4.409154412623479	4.745970479590705	5.351150071302205	3.216105071247415	4.49658042511064	3.4160982625630902	4.21038718097938	5.225532534304305	4.36769298893813	5.32346978818385	5.4251388248787	4.7164116614765845	4.684959033031429	5.07822683814567
b3351	5.693491430805075	4.18017277603819	3.6399420181998448	4.12261463126448	2.93804702732754	3.58872845738867	4.88892257068297	5.00104179256958	4.42392622324211	4.01773174576844	5.17078310526262	3.78560141794486	4.25102927583472	4.87889378357474	5.8545280618152	5.12355489607751	3.331930966644445	4.202881611969955	4.581549748080005	3.34024463391569	3.56927973947216	3.003248969318165	3.2783758157291096	5.5714702446886655	4.86254000167607	4.97665310611451	5.517984485351575	4.8746867691168	4.28400641237043	4.633682453110695
b3352	7.013854554329545	6.730724304721059	7.45058393782329	7.61102867215208	6.93171529715227	6.69335994118305	6.48354100600564	6.97022795360576	6.38662455353087	6.08192878756563	7.18459505503918	6.09290729664845	6.38743968200264	6.83014627384406	7.55507565471805	7.9491435805343	6.511799486635505	6.021419864421755	6.7301146554878155	6.822048775229855	6.69236418230007	6.47037728331838	6.32244977600166	6.801575841500145	6.33242658169061	6.56646174312955	6.296696634131784	6.283666379303355	6.6447296504890545	7.64255680747066
b3353	6.139784064841675	6.707310462943955	6.4101283349388805	6.39078880410424	5.69082972722197	5.44007038786962	6.00406963147316	6.05252507279674	5.65188668265454	5.77182687642019	5.7358666744932	5.14316266973051	5.65496129638308	5.39762382726522	6.40870058725815	6.28217441692412	5.89809005526879	5.2393142894436995	6.75213619845735	6.28966481902929	5.587609381609665	5.306996206393595	5.410245223880414	6.134929486048955	5.74663663053216	6.05132220990433	5.687095648869985	5.53773990320924	5.010992189192135	6.345690441722075
b3354	4.500740947860505	2.69567041485329	1.56949473547422	0.0	4.03893169546359	4.25428033850428	4.11583718309349	4.29774822958291	4.68572555122491	3.0359256978476	5.0955343254505	4.24476222032038	5.35385170868284	3.27904391111299	4.56952388546882	2.02016901031123	2.528033386468465	2.781586943127725	5.64532969045678	3.57515901726491	1.97044018970946	3.57250215741445	2.78563182868984	4.19885834984289	4.85638649423564	4.57929695456182	4.594092471807615	4.82726071397817	2.0902305840806448	3.002276878862385
b3355	6.52526049731897	7.1114716506609845	6.32673021863523	6.68183847444899	6.36685749148586	6.6156391083943	5.87707334429423	6.56009401731968	6.21473337675173	6.90500742073474	6.06901322649586	6.26211130207098	6.30770499393241	5.96762190358512	6.97222909351505	7.26538760941628	6.5157344612781145	6.647185897179845	6.513564320506675	6.604241482905135	5.63411900705828	6.646361565438185	6.81335301541192	6.523006347007129	6.34737597584831	6.56411019487843	6.1648034044474205	6.1377824303973	5.9256617815179045	6.675702816088025
b3356	7.46382553363758	6.723727597136845	5.62118574438105	5.83829264732841	7.41435501582374	6.67606541312439	7.38090297371868	5.9231755863067	7.56888522632871	7.86940039263907	7.56105701751719	7.97764154080956	7.4079137928745	7.31340812856248	7.0453689108444	6.36019537681415	6.564598740246285	6.946600923402575	7.494784340344465	7.38316681977516	6.49099524373227	7.783801113605735	7.71093434331394	7.766542116375165	7.82014249086166	8.50464881906603	7.97174967960947	7.67904995682282	7.22465783576895	7.24478146602386
