log-TPM	cra_crp__wt_ac	cra_crp__delcra_fru	rpoB__wt_lb	rpoB__rpoBE672K_glc	rpoB__rpoBE672K_lb	glu__glu_ale8	42c__42c_ale1	42c__42c_ale3	42c__42c_ale6	ssw__wt_glc	ssw__wt_glyc	ssw__wt_xyl	ssw__xyl_ale2	ssw__glc_ac_glc2	ssw__glc_glyc_glyc	ssw__glc_xyl_glc	pgi__pgi_ale1	ica__arg_sbt	ica__cytd_rib	ica__gth	ica__no3_anaero	ytf__delyeiE	ytf__delyiaJ	fps__fps_serB_ale4	fps__fps_ptsI_ale3	pal__lyx_ale2_f6	pal__5drib_ale10	pal__arab_ale16	pal__tartr_ale26_f10	efeU__menFentC_ale39
b0014	9.240224461289145	11.061905533083799	10.740356935331	10.41741685457185	10.10906541740675	10.6495222918199	8.82138515050907	10.4839162813524	8.87606969254135	8.76566880048772	10.5374145394219	10.1968795096005	10.3674359390258	8.85688545986473	11.067054674738	10.4916694336413	11.6823932295641	9.779736243505065	10.9004694396905	10.024795565486539	10.942973989120649	10.128867296984751	10.45786312522535	10.34509639362875	10.91442693306005	10.3171996096756	10.5523895531491	10.06459665126792	10.24147912346775	10.244975808639449
b0015	7.37195007184605	8.462192435042175	8.565770055783386	9.371639881051646	8.803068094657515	7.73542941042346	6.54209502168796	8.15517534785244	6.80462131443475	6.75037222988812	8.59582347083659	7.81638730371479	8.37110651574987	6.36317588331694	8.46311344662855	8.12993743364278	9.6634333313312	7.167920232423224	8.050140438465334	8.95846843126466	7.799772659651645	7.683093816141895	7.37575316336226	7.456410422765336	8.04858270722026	8.52232729594976	8.680008485246	8.256063029693971	7.922705047523511	8.05541631077149
b0016	6.615508861879761	6.10050570832394	6.478258684534101	7.013813813137615	6.157914276146135	5.40312034792751	5.28431085792687	6.47163312871835	5.35652149488082	5.73740784541066	6.2986010689335	5.89025005555264	6.32575156843165	5.02521284989031	5.83140309580791	5.70884609379192	6.80540205751409	5.501414180207875	5.570300578936836	6.461259646240075	5.8681756758544505	6.313408947587424	5.8061451732179545	6.09527160768011	6.07127885096391	6.48176307651906	6.85468510292291	7.0557968647346545	5.98965190737861	5.77853576695222
b0018	1.91875987471213	0.856272869249605	0.0	0.0	0.811672976371485	1.65492810925695	3.05596250215357	3.14601743207343	3.01772197931991	0.0	6.73484150718271	5.17158804789159	4.59895703758619	3.37325535259483	5.03788019705154	3.86227799857192	2.17808686739473	3.045788942965925	2.746055262833695	1.818119272768865	3.249278117128345	0.4812635263046695	1.736668416184675	3.185095457226595	2.3025815777086	4.06195154642191	2.9094920526235	2.86590772603419	4.07020098360515	2.8216907115008203
b0019	5.9744765377452005	6.75239501779722	6.950375846774945	5.96872851136353	6.20986078762283	4.30955788391791	5.34523614465703	4.51052415525122	4.6447892958463	5.670427053429	7.50670091692695	6.94349796507044	6.71421747985195	5.97501079418659	6.90377260391848	6.25068691749476	5.2932736602148	5.958506683971185	7.203872602973255	7.323092831163001	7.0902481779717945	6.362094684039835	6.57344327756013	7.2077952017526155	6.18793678824864	7.49597608582726	6.59548696582643	6.150230096899805	7.0538818448568055	6.2596405008976355
b0020	5.63522621209891	5.996381368737055	5.670056738907115	5.17473158107553	5.392733488784935	5.09789254719185	4.7295981654262	4.81085101556834	4.50900440181302	5.92526878575249	6.64777436417976	5.90231577053734	6.00132194976086	5.61221559925486	5.14381129481806	5.04248864523255	5.19680551868571	5.01330059398963	5.909818640487025	6.374747038431355	6.13175435568046	6.09492496307511	6.34883879614298	6.603426185403135	5.5166730888129205	5.96754885132265	5.72858737203249	6.033022163718665	5.2527710385898505	5.283575176321425
b0021	2.076220356579795	2.31473575863875	2.125945216587155	3.57955839291201	1.537408681338365	3.25252741415447	3.58556995148248	2.97449205068849	4.27319350462772	1.39313226244789	4.67193072033	4.58541091025591	3.90901991004363	4.56608368450002	1.77385692166062	3.41961570851077	2.22731239808636	2.78394145043334	2.316734396273335	2.14406659819229	2.3487262054263	2.3004370868665402	2.14285378619466	2.057512549654795	1.0847183340923154	2.72757512022451	3.86863604115665	4.594761959091491	3.318224586632075	3.24523329438541
b0022	2.642703981209695	2.48520855985692	0.0	2.894772149408575	0.68510454461575	4.58004259851688	3.72911171630352	3.86726564066738	5.79613227207645	3.98424701969482	4.23726172130247	5.0622967197773	5.64850178656323	5.25110129246884	4.65890895180369	4.9295664839102	4.4908331164625	2.1981581571639053	1.92783738013513	2.523608687979635	2.997585731927765	2.67792524469224	2.829590964135455	3.139833176769295	3.264922356117885	4.63931923241616	4.49186309971801	4.926820604428485	4.99643216677202	3.1329660751971202
b0023	9.3507941885079	9.971722988040096	8.86552756609226	10.539759785641149	10.71633085524455	9.79895473456275	9.46091367804199	11.9347139931309	10.9627174218269	11.4032434559302	9.96816009973991	10.5155114338253	11.7464035079945	11.0736900197801	10.581082586419	12.3893674312726	10.9129552888113	8.81093262163283	7.53133997812194	9.86342449692799	10.6111483710566	10.002350394414735	9.28596635956041	10.864662784977451	11.0123972789989	10.7534902109805	9.86541804902797	10.95459861120775	10.2398580944935	9.493516659177905
b0025	8.43297878351093	8.734028612518745	8.28877472316576	8.59645001445466	8.666148165390894	8.95643673750352	9.0122114435045	8.48179204146176	8.75500293555043	8.47902261590997	7.74145778398658	8.62670995904955	8.21589755018758	7.7876190600532	7.76419146304324	8.38703558260425	8.76050376981381	7.44863939520056	7.30030868758338	8.152479307461965	8.548031191505366	8.524586931376605	8.27795878474928	8.818484213839685	8.054389179113599	8.18539960473185	7.76278326532054	8.060821662630165	7.758395299545494	8.373984496809586
b0026	9.624405616419576	10.02519731735407	9.53839309216961	9.94601524790903	9.8404443877321	10.1278234946084	10.17126590788	10.1479487101094	10.7375596065568	9.68237181644853	8.90084277437015	9.26346986731074	9.15448585106645	9.15464609606562	9.34841687760315	9.27682703983562	9.49912188723816	10.23144430915845	8.36494057851617	9.467403826627555	9.377455486457709	9.734389466960799	9.189699084861076	9.187263705787036	8.832575909035295	8.90844807153828	8.98281823363469	9.129500902967774	8.744040158232536	9.583909997259195
b0027	7.192253529304935	7.4613883643292045	7.52235672374043	8.012155665791575	7.773991079027475	7.89904322229038	8.49752936563549	8.60618221022044	8.60535757569473	8.15902000664055	7.51200228840288	7.64466348063351	7.5266890999394	7.25117585775617	7.37555657654724	7.16377523993252	7.29440281729247	7.970621768210885	6.104034809067025	6.782810806731501	7.33364923854632	7.094264305933789	6.8089599588078755	7.08171629565758	6.804957553966	7.20899778824197	7.10535029508687	7.331941695144575	7.02406489173658	7.67042289397863
