Gene	42C glucose	Acetate	Fructose	Fumarate	Galactose 	Glucosamine	Glucose	Glycerol	Glycerol + AA	LB	Mannose	Osmotic-stress glucose	Pyruvate	Succinate	Xylose	Chemostat u=0.12	Chemostat u=0.20	Chemostat u=0.35	Chemostat u=0.5	pH6 glucose
ucpA	1.2125693560472963	2.008264976363638	1.5739716011471605	2.0348070205383406	1.8738608269478172	1.8109753079984174	1.3830006428879733	1.7648171495266733	1.9893251787523727	2.372568487878197	2.0120581425794146	1.395924906740474	1.889256943204298	2.0839138366542245	1.6185241257773697	2.15346124557685	2.0861341303656076	2.0582382966303916	1.9338853681337609	1.219019423939798
bioB	1.5567370252390424	1.3898608008482334	1.6720598863927347	1.6061410852306202	1.4528012168607976	1.4805355709334187	1.860972123236758	1.6047263419613556	2.038744064728747	1.0531456417396874	1.4423483871496845	1.1858264305665613	1.2433499302482818	1.7003883492734064	1.604852888145557	1.012533213924737	1.1610361668049336	1.189490978345878	1.5163275119283735	0.924397751551511
lipA	1.7388652812419545	2.078510301195094	2.210567819706115	2.217765257436203	2.05911472651775	2.154293704029888	1.9382572245575587	2.0731132256658467	2.306075438994251	2.508981710161771	2.0806274634059223	1.669979842764491	2.3137531387418826	2.2722623583609685	2.086183692584583	2.0465990942047316	2.0452801059581063	2.098059759677165	2.0153263847008227	1.9447708247910194
ribC	2.2884843370820565	2.214929002503173	2.158778873613217	2.044691893426345	2.104937886787362	2.18436803237916	2.170333560012355	2.120949405566304	2.0952895824283666	2.0669248750067837	2.0493748028922636	2.289654643193281	2.053458049473269	2.085536320425337	2.246403226124097	1.972293211251252	2.105412874697409	2.067777351926663	2.128982009399877	2.189859262255559
fre	2.143904933326497	2.2189230467486816	2.207033640228903	2.2331607363183683	2.277101922211708	2.2455009697064785	2.1056308166289526	2.1915203190141535	2.2263908982007763	2.194578776125619	2.2196064650714544	2.2842815206544005	2.2586641940021726	2.293626322111002	2.193163829329256	2.221272240304869	2.2535004349822274	2.2157358639677596	2.246274995733086	2.2231418672175516
glgP	1.4629198490877167	1.6350019602199097	1.4979881791028782	1.509620966227151	1.544570770945399	1.456262744355373	1.4266728547935725	1.498304258933901	1.2570081332292957	1.1449709870116846	1.5361059876600076	1.3861702358647028	1.6586767206699369	1.4220420441642854	1.4926280425420304	1.839356828788853	1.7368530988665163	1.6752876170201678	1.6855645794131986	1.6182101005928708
nagA	1.9097943895790086	2.0001304043099615	1.9061484705659029	1.9895253816079757	2.624955976943544	2.1388959084013996	1.747631721631435	1.9435582055429625	1.7250582771231273	1.956016661685212	2.0939200078312283	2.0085876850195863	1.9746958830364314	2.0248069224046046	1.8905048251081182	2.161492592539715	2.132143532171518	2.0166422150615486	1.8931321098945693	1.912066088482775
nagD	2.4150030581765725	2.268090645002098	2.387947157258617	2.2941159970951124	2.3721726168569495	2.3086740304881803	2.4004201199004758	2.346477313092881	2.3503729049553894	2.2161584911299617	2.3870221664509037	2.252525221908752	2.3985926702540272	2.3825530417227414	2.2806074748331038	2.255045388978041	2.2943785499585814	2.2549438484775934	2.275347704805099	2.237984239949807
xylB	1.0824086117151925	1.0049752928118807	0.908826031110833	0.9932479118100184	1.0690105670240146	1.0435223205755357	0.9790120877013557	0.9846139093025381	0.8582305078408202	0.7206244285881253	1.0979895072462538	1.012207313344728	0.9992574372552323	0.9591659706401663	2.609955112525048	1.278037751638508	1.1479114127072738	1.0407523159584595	0.9019602096519573	0.9840465963763051
yeaD	2.6161389770652206	2.5934696891671605	2.839851074901076	2.583114980240951	2.4672314900381247	2.6388188824736183	2.6322402266521694	2.652149959609599	2.6869199071864722	2.4641935039703933	2.5848426426777844	2.607603409628533	2.5177748581623516	2.580814452292173	2.596702023132549	2.3779459430800665	2.5067021684983355	2.6142599140770204	2.6744753453298427	2.5238901401319853
