log-TPM	count	mean	std	min	25_percentile	50_percentile	75_percentile	max	cv	noise	lin_slope	lin_r	spearmans_rho
b1193	30.0	6.650597701079267	0.6622654260299361	5.1177274423728605	6.176058721417405	6.816507571887475	7.173231544322461	7.70048393068442	0.09957983564732278	0.009916143667547816	-0.12128423975339189	-0.27545111234784037	-0.2687729463733567
b1194	30.0	3.7899797784221723	2.5692933852013478	0.619928285701227	2.1807998543939324	2.5994717136285526	5.349265516704498	10.7422724756448	0.6779174389872298	0.4595720540830045	-0.028179555020221576	-0.24828810105073076	-0.26410056899434964
b1195	30.0	4.440306639186945	1.9348216061297012	0.0	3.2025977380212423	4.408055296825612	5.973895864537802	8.965727355645885	0.43574053851469646	0.18986981690507765	-0.09119928871078185	-0.6051185366053662	-0.65658026883094
b1196	30.0	2.573723504896527	1.157453503048554	0.0	2.0510960099127677	2.3731986507399574	3.5215601049398475	4.55897059741368	0.44971944377338535	0.20224757810784313	-0.04876975965037946	-0.19358078478473328	-0.164218958611482
b1197	30.0	5.36812450950952	1.5373768156488936	2.8646174649662397	4.402406779783208	5.38713122973735	6.303656616943738	9.080556780615566	0.2863899324476291	0.08201919340735757	-0.061464236331991745	-0.3240491560410274	-0.43008121302955166
b1198	30.0	7.346990625303612	1.3301032654159148	5.4659756349553295	6.618080583018424	7.098449211576723	7.827273974319212	11.3132486330972	0.18104055568479083	0.03277568280265785	0.04763403538920393	0.21727552694604244	0.32973634646135314
b1199	30.0	6.827116383119733	1.343686567694145	4.89646533519365	6.097232557738117	6.5577206170567255	7.5436029088412235	10.6217657349049	0.19681612152042022	0.03873658569034081	0.06010157883355833	0.27694398289416156	0.38046501514771514
b1200	30.0	7.6227064356168235	1.4637938492635074	5.37565613103489	6.792404544964272	7.334316054560215	8.598818609015112	11.0788896692415	0.1920307257831658	0.036875799644809415	0.05386478097422488	0.27039141183213733	0.3682278362979348
b1201	30.0	4.576271557718645	0.3701937768367642	3.76756812011322	4.358559014143445	4.605118460491138	4.7368444502907305	5.80614815642658	0.08089418911610931	0.006543869832752857	0.1570685309745636	0.19940055963996087	0.16331071410434086
b1202	30.0	4.2633183963438475	0.7440296524526784	3.437827693973155	3.7514450880625474	3.9509666888389647	4.472698166544166	6.60374217220729	0.17451890365278513	0.0304568477321701	-0.007184586438437057	-0.018331588322541354	-0.0060073423444376075
b1203	30.0	7.81273832750417	0.7086931449936446	6.1112333017229	7.388056042478143	7.752884406926005	8.077489440383863	9.047130537505065	0.09070995536849641	0.00822829600295461	0.06774207265864923	0.1646359937825466	0.06674824827152898
b1204	30.0	6.4871077260884755	0.6473472084979257	5.287342876570264	6.1044560180492615	6.572461500759225	6.964726349503772	7.546429273671174	0.09978980399763701	0.009958004981886813	-0.139537116127047	-0.3097669643487952	-0.28256758434947266
b1205	30.0	7.0066878116032525	1.851596297184068	3.03635678086097	5.608695523578723	7.18264975427904	8.170878971323857	12.0297748264791	0.264261281074601	0.06983402467518926	-0.044143764924296225	-0.2803004217784902	-0.301702082187311
b1206	30.0	5.063686510640153	0.6256829567267332	3.425017696931625	4.57172435495932	5.11039034568514	5.357399074129431	6.36749925334679	0.123562735452127	0.01526774959241232	0.13687651046847218	0.29369146604855734	0.23940371713388392
