Gene	NH4_0.05_7.5_0.5	NH4_0.1_7.5_5.0	NH4_0.1_7.5_0.5	NH4_0.13_7.5_0.5	NH4_0.18_7.5_0.5	NH4_0.3_7.5_0.5	NH4_0.35_7.5_0.5	Gln_0.1_7.5_5.53	Gln_0.1_1.21_5.53	Gln_0.1_6.87_0.55	Phe_0.1_7.5_12.35	Phe_0.1_7.5_1.24	Ile_0.1_7.5_9.81	Ile_0.1_7.5_0.98
LSC1	-7.378297463140075	-7.096829185837486	-7.537469117549421	-7.50038156675167	-7.406902331984369	-7.4358095418302925	-7.488960572373878	-6.905383433941281	-7.0605915288848164	-7.51815048627324	-6.703716714873508	-7.235954039775202	-7.02155933360284	-7.467863028302482
SSK2	-10.104789849526712	-10.215830544018838	-9.881126594645515	-9.86525448216692	-9.883065438952876	-9.881313661794751	-9.934195313806264	-10.25853805896622	-10.184195137907228	-9.868469161487111	-10.104719915092529	-9.96731423706322	-9.970995010638276	-9.939197926569246
NCE103	-5.521093151423826	-5.594996479149825	-5.412733992298176	-5.547966974539823	-5.735446209192323	-6.1802316838828135	-6.477135085170339	-6.151087707574381	-4.894499036147325	-5.5938307363240005	-5.670843269703546	-6.2112092627636315	-5.902001942788913	-5.631633215666426
NRD1	-8.149564707274786	-8.578156014608936	-8.496081861985543	-8.532060376768987	-8.628618276634086	-8.691943181389554	-8.653827545557446	-8.50769122021766	-8.459940194501849	-8.452491338402977	-8.725093600593835	-8.53933102941437	-8.53614905584611	-8.640718456429857
COP1	-8.850403880858428	-8.70116417558915	-8.621706677382873	-8.58000441819194	-8.562030934486948	-8.505809433781844	-8.511164953918573	-8.656646304280725	-8.603347419591337	-8.647289562305323	-8.469465186669664	-8.575193949802518	-8.542801295090447	-8.697786226262773
SNF12	-9.00830143373227	-9.085609086560952	-8.82273988023332	-8.7348658146247	-8.754777783880703	-8.826551618257096	-8.936523942785152	-9.081824723056965	-9.06594026181787	-8.837116159493926	-8.97497999586525	-8.821307912840858	-8.869620604741435	-8.831540528972246
ARE2	-8.680305015238135	-8.890126628879761	-8.530829805599089	-8.399507735051593	-8.204378703243762	-8.632362282691503	-8.77664291531269	-8.929617772017004	-8.50819736778687	-8.298023543770244	-9.548204555692598	-9.028438768408089	-9.114493185331712	-8.707114202565375
PAP2	-9.543704845906165	-9.59934964736186	-9.370207313144883	-9.36119679598886	-9.301317479096037	-9.252467978219903	-9.278586938769449	-9.598150808302378	-9.713081905446487	-9.448084465589288	-9.6769247057034	-9.49935495063624	-9.585787582878735	-9.501591680839079
YIP3	-7.786255884233391	-7.739208068152785	-7.401127812659273	-7.415173821952041	-7.443095364253942	-7.404169186125799	-7.604492546124554	-7.737964456464716	-7.6007258285837835	-7.45427680158019	-7.627670629721372	-7.378729085640175	-7.437155054958794	-7.45335464719718
HST1	-8.494704159638879	-8.70020753078866	-8.390421452856026	-8.406960001570528	-8.464383924972974	-8.57375493182373	-8.590721805287567	-8.684999045342229	-8.658144839912689	-8.346017430157584	-8.56438842009865	-8.515774037051234	-8.474853618702701	-8.416640435943949
CPR6	-7.781247322296099	-7.772629986648991	-8.380924777289009	-8.529633111206484	-8.633888149011554	-8.518586544303744	-8.434146886212291	-7.696889246262271	-7.286962835732869	-8.325796349255931	-8.40542766094917	-8.623438315414857	-8.147763734235033	-8.221134638599489
SMM1	-9.305722467736059	-9.208513917792708	-9.238941959061101	-9.22550265044455	-9.151191267144302	-9.089118961005989	-8.987125048339736	-9.136875147120834	-8.985265241220402	-9.16588497058894	-9.097296648108156	-9.052959869367134	-8.95560626651085	-9.190222298976293
RCF2	-8.346903146062228	-8.13496938440426	-8.116635522564295	-8.215415934296113	-8.234655591210837	-8.474218049606138	-8.489161353508367	-8.156467676204977	-7.878826621849648	-8.0481763017152	-7.993302532437802	-7.8926259347869445	-8.107216662616365	-8.14746181974241
ATP23	-8.609538621106914	-8.456941853822602	-8.418321896841862	-8.326745548650406	-8.33863260290327	-8.197404366025662	-8.094039786270198	-8.446679583555918	-8.407197460163063	-8.471172692422035	-8.15520634017906	-8.339176367723399	-8.287746468834913	-8.546197245280693
YNR021W	-9.266807510099653	-9.005598570185485	-9.002555529978698	-8.949668880274578	-8.87474918330472	-8.725576603728998	-8.757302713944666	-8.933251035336454	-8.975703525891982	-9.032359064556738	-8.959272077126558	-8.93881807677658	-8.980766517766076	-9.089819019542794
MPP6	-8.727836370888971	-8.548132239746527	-8.650177260772798	-8.697497744172685	-8.667548285142045	-8.631725850304399	-8.626837737407483	-8.65204688338778	-8.442448894401954	-8.810158698271506	-8.774364457318754	-8.717674539237551	-8.666799939557931	-8.851888904088357
YNR029C	-8.859505057267695	-8.715532884748761	-8.831024204665125	-8.849900423298052	-8.848516978612077	-8.94240923068409	-8.88722930257851	-8.773461413486212	-9.056519156499187	-9.001277099497031	-8.556136776613377	-8.565869209967024	-8.530973988882938	-8.831728825109026
