log-TPM	count	mean	std	min	25_percentile	50_percentile	75_percentile	max	cv	noise	lin_slope	lin_r	spearmans_rho
b2017	30.0	6.306373325957276	0.9441074422667508	3.61024664859783	6.13232041915418	6.404336993757912	6.71981740486603	8.7866570092928	0.14970687485004544	0.022412148377367172	-0.22093440962166003	-0.6139797099744523	-0.28167760770585226
b2019	30.0	9.102102812409715	2.0139912001132516	5.9203244751998145	7.951229696098331	8.590953048669258	10.254279892947729	13.5690812297464	0.22126658439491548	0.04895890136979225	0.02859134259000211	0.1694967423007519	0.2867949734066695
b2020	30.0	8.950976967534212	1.8995327160113569	5.9974141286824345	8.085556691354537	8.401266306963866	9.254799414845717	13.0561697830662	0.21221512723148414	0.045035260225875	0.02135056827239575	0.11937831763985086	0.13438647318667835
b2021	30.0	8.881944408485888	1.8979196284394313	5.9350387400854405	7.866521994434177	8.363740364031951	9.403482687323157	13.1666851845312	0.2136828988285653	0.045660381251778875	0.02382362454710292	0.1330929008691597	0.17198798637963963
b2022	30.0	9.206323027217792	1.7626604700496415	6.46474431895465	8.1609379383887	8.709676271255663	9.55024946720339	12.9921364255001	0.19146194032497776	0.03665767459300535	0.015924410168577784	0.08262305666646566	0.08810768771841825
b2023	30.0	8.246690076328855	1.7029288593672218	6.069864845795465	7.239607029564505	7.933669668469303	8.401247438426171	12.0932395735139	0.20649846709472894	0.042641616912472854	0.019482389504639645	0.09765803124769773	0.024474357699560623
b2024	30.0	8.207729735742507	1.707141936531002	5.851609857956895	7.02987130418442	7.968377061150916	8.304758913985413	11.7930894853814	0.2079919772573465	0.043260662603420534	0.02031687289078267	0.1020929450789152	0.03025920588309313
b2025	30.0	8.428724168737414	1.6451926312925838	6.191467833550365	7.530792162210284	7.975566964288633	8.583041259095513	11.9599409966456	0.19518880892967058	0.03809867113138346	0.011506361702218902	0.055721656041774405	-0.003337412413576449
b2026	30.0	8.56294571766553	1.6622973099553733	6.09957562249725	7.585270699763555	8.333664198926606	8.627125962856338	12.027504890567	0.19412680691482376	0.03768521716294527	0.006596491319932949	0.032276834463874214	-0.0008899766436203862
b2027	30.0	8.768471155935261	0.8071234683181306	6.47658421932212	8.413513197644717	8.896946221882112	9.23136602955151	9.79773819621448	0.09204836897613554	0.008472902231166791	-0.09847178749503872	-0.23394891438459214	-0.16931805644877848
b2028	30.0	4.959645820139187	1.10350409432766	2.40968549581845	4.498664243379965	4.798657816522402	5.334254285156399	8.76183322618872	0.22249655204143012	0.049504715670324814	-0.03278999873554158	-0.10650857796701377	-0.09567248918919152
b2029	30.0	9.96646050697168	0.5467407740058396	9.026536846679864	9.49614148113556	10.025263131174036	10.463253941119838	10.7751010363923	0.054858068581457455	0.003009407688487889	0.37852559726317436	0.6091804454889554	0.59895428115652
b2030	30.0	8.025938191520968	0.6506721132865064	6.801057256030095	7.576658807754607	8.115271117945642	8.40027154273975	9.17023426396247	0.08107115925386908	0.006572532862766203	0.03066559361677674	0.05873308425634097	0.010012237240729346
b2032	30.0	6.988913820078895	1.1294161696320595	4.041704380475425	6.409173003342651	6.889122943509941	7.915387434174883	9.10403397729195	0.1616011012165135	0.02611491591438984	0.020667451491526247	0.06870845226002543	0.05072866868636202
b2033	30.0	7.081844893060258	0.6476317105600979	5.56873747456936	6.8400076689751765	7.18461260940913	7.419302951043322	8.2387770392553	0.09144957568821288	0.008363024893554177	-0.001870559055603353	-0.0035658967720144912	-0.0389364781583919
b2034	30.0	7.681293948353827	0.9298056764285157	5.44639859617179	7.350119742766669	7.75233807273565	8.296734405946554	9.23427427076036	0.12104805292964758	0.014652631118058765	-0.04603664288196833	-0.12599841353933944	-0.18378017690760975
b2035	30.0	5.999121706886322	1.077453937228977	3.38449928953305	5.4351226080356145	5.995072887170766	6.673803174865735	8.080901106616794	0.17960194673033225	0.03225685926932511	-0.06636664405750914	-0.21048337913507276	-0.21159194702074685
b2036	30.0	7.71661999140598	1.0212677049540129	4.91084435685566	7.3333736360965585	7.891541976074095	8.287541019097294	9.611092838486446	0.13234650742052886	0.017515598026412102	-0.06849655854829258	-0.20591007087296825	-0.2451885653174164
b2037	30.0	6.760015302857265	1.041876436248089	3.97435193720194	6.296357354840735	6.711178399488793	7.50772282241371	8.35973801619815	0.15412338427809738	0.02375401758133407	-0.03782675021292456	-0.11600707723124815	-0.16642563235701224
b2038	30.0	7.081290852332537	0.8317480799559361	4.83421513185603	6.5708095276000895	7.212808345524808	7.55186336658455	8.625261250383364	0.11745712713974502	0.013796176715922225	-0.09350336588748566	-0.22892239938306047	-0.24251863538655527
b2039	30.0	7.97261960540219	0.7295236274172812	5.99467856363095	7.452568540102837	8.098544007102372	8.452119054522749	9.252921413262944	0.09150362911118463	0.008372914140517235	-0.023077736927177215	-0.04955663600645224	-0.08566025194846218
b2040	30.0	7.886489510425264	0.5519361196795646	6.63717062221521	7.5669566068222816	7.97805826742929	8.251063866214576	8.778937623372226	0.06998501918375119	0.004897902910150021	0.037507116543796425	0.060935689755319294	0.002002447448145869
b2041	30.0	8.208297103679435	0.6217428538894861	6.56533169936042	7.982452010417792	8.268596095788514	8.548037387346573	9.44518781823625	0.07574565662478092	0.0057374044975192166	0.009739941311383022	0.01782528079564517	-0.0011124708045254829
b2042	30.0	9.348381851819683	0.5200713050986187	8.342400747916	8.936736394114948	9.351041818380375	9.751990087883637	10.35012918250675	0.05563222741028552	0.003094944726629723	-0.11036778320757688	-0.16895632300283048	-0.17888530536769767
b2043	30.0	3.809953989939861	0.7106947155317322	2.317581427145905	3.3833634237368377	3.7400155331705975	4.17772170302001	5.2693082729023	0.18653629870815064	0.0347957907357364	-0.1620392695130725	-0.33897884875620465	-0.34508844356380475
b2044	30.0	3.218144440197611	0.7421076010903815	1.80729852478766	2.774524838343275	3.1526019722750247	3.370256191690025	5.5345451685761	0.23060108546427216	0.05317686061730055	-0.10513068075936877	-0.2296495475217864	-0.2574257441671967
b2045	30.0	2.542698136257509	0.7958269707686915	1.40480418717048	2.198101293140966	2.428269154163665	2.6702723928868677	5.96594653166073	0.3129852338429901	0.09795975660375117	-0.023512571902205844	-0.055079251220879706	-0.03337412413576449
b2046	30.0	1.656339186428632	0.7397225792154899	0.440252476179137	1.225730377726216	1.5264771985544976	1.8434612250771187	4.54639257037162	0.4466009047400889	0.199452368114666	-0.08867990480361243	-0.19309157768107577	-0.37601513192961317
b2047	30.0	1.5669633533423655	0.9778344383292035	0.0	1.169041862688616	1.49139834660799	1.812575096997775	5.33743994299028	0.624031465856213	0.389415270378654	-0.04837272344080142	-0.13923073169886951	-0.1432862396228822
b2048	30.0	2.1498799678201435	0.9696270000792284	0.744260711718094	1.6264807714800262	2.0460679310880825	2.3815713892925228	5.96041099411135	0.4510144820142565	0.20341406298658807	-0.07059112900567772	-0.2014763459305045	-0.3470908910119507
b2049	30.0	2.222408565588131	0.8779104571589212	0.9359809766260295	1.7436603902338423	2.0276105556298676	2.389419411801667	5.62550919613346	0.39502658095929083	0.15604599966438712	-0.10325964199767827	-0.2668394732394967	-0.35732562241358506
b2050	30.0	1.5972144972081022	1.0401926605130956	0.552865789750365	1.2037878467262875	1.3645012404301724	1.7495794241526175	6.19501875910016	0.651254206827781	0.4241320419108821	-0.07908216399978808	-0.24213722865436732	-0.38135499179133553
b2051	30.0	1.13028686778888	1.1943985548233071	0.0	0.46692465925763427	0.9768413651536835	1.4399345936555081	5.91986163933258	1.0567216065774925	1.116660553807717	-0.07362440955409184	-0.25884532860706316	-0.46728056333217555
b2052	30.0	1.861570930658358	1.3317629051527415	0.628679085328097	1.2055476814150776	1.471199430573485	1.9199561790342874	7.54519159118619	0.71539734705771	0.5117933641772096	-0.030450753860102764	-0.11936972689100034	-0.2144843711125131
b2053	30.0	2.1141974230799483	1.454588304798296	0.447335249296666	1.4069517400410363	1.8596409173263049	2.1882844638622077	8.06760970027049	0.6880096858122463	0.4733573277714659	-0.021892008505903355	-0.09373352229931445	-0.18689509516028113
b2054	30.0	0.6785257213761402	1.1156043946618022	0.0	0.0	0.34922413466955404	0.845664408377795	4.91069502086685	1.6441593288449086	2.7032598986277403	-0.0669605030771368	-0.2198862950761793	-0.4764801555394917
b2055	30.0	0.9574853564908241	1.2871984247041552	0.0	0.0	0.6899655854866275	1.1705584738141726	5.67870043361187	1.344353118278202	1.8072853066243253	-0.08405841141957815	-0.3184900839681025	-0.6366567023348493
b2056	30.0	1.2504158664878338	1.0727813186179302	0.0	0.7422508967007986	1.213114424769615	1.366859167777379	4.93530946831891	0.8579396242237047	0.7360603988131117	-0.0644264194386826	-0.20344378883134442	-0.37306624227540724
b2057	30.0	1.7077920296033504	0.9578088225414889	0.290909877513742	1.166026897328805	1.607954210002495	1.8359587386157576	5.54745806706065	0.5608462892076785	0.31454856011802296	-0.1272218157782343	-0.3586820641490949	-0.6076315534318187
b2058	30.0	1.0726357821733992	1.0273126145092373	0.0	0.5717080901923051	0.9637477129310035	1.2081946807021198	4.78489074201752	0.9577459857135038	0.9172773731503309	-0.018018465647474873	-0.05448659448660525	-0.015448630440546136
b2059	30.0	1.556290298120244	1.19462285182998	0.3127493806406075	0.9798670842539916	1.244050899212223	1.6498445938779873	6.41738493320797	0.7676092649763981	0.5892239836776061	-0.043553835910383525	-0.1531533377932623	-0.19468239079195948
b2060	30.0	1.4639435714024633	1.1286733791298833	0.573472914110565	0.8854053452878957	1.1375993777821218	1.5807800304642237	6.2467633745033	0.7709814785064496	0.594412440199991	-0.04357881781634408	-0.1447814641235554	-0.25586828504086107
b2061	30.0	0.558553982010083	1.109441032090545	0.0	0.0	0.25178302599810726	0.5059270067991721	5.55368423752273	1.9862736061749489	3.9452828385872354	-0.04782014371682669	-0.15616522760767004	-0.3502733719750998
b2062	30.0	1.0502857010411322	1.3330175049979627	0.0	0.441825714414815	0.6371502508419915	1.228140753123128	6.74947443272724	1.2691951377387722	1.6108562976597411	-0.028176027099352813	-0.11055664384171808	-0.2029216282502952
b2063	30.0	5.612110348500579	0.34645095805637743	4.85978507189349	5.397993197778671	5.655762390781095	5.870655851550122	6.19056313314494	0.06173274161455874	0.003810931387249872	0.07768528390523476	0.07922272222323636	0.18645010683847094
b2064	30.0	6.867870618036265	0.21205685825661966	6.49128500960482	6.758129318332099	6.8413354778010325	7.031110075441678	7.26942009577866	0.030876653048722287	0.0009533677034911713	-0.6728355757892709	-0.41998183502999076	-0.45856046562540403
b2065	30.0	7.3371923502031136	0.4118928921490621	6.40992664777137	7.0331400852744945	7.37727466641687	7.571761512300267	8.40601177145411	0.05613767126299473	0.0031514381348320642	0.2048008573205916	0.24830490887000584	0.26788296972973624
b2066	30.0	6.60835110918642	0.709970060203013	4.97295915548382	6.164798547166784	6.55197199072132	6.989129180046548	8.33810488880353	0.10743528127857302	0.011542339663406103	-0.0206666026972601	-0.04318951853897569	-0.0896651468447539
b2067	30.0	4.974069759947743	0.7936364353996633	2.78825163325614	4.598942718944702	4.970295420879473	5.302407626785823	6.69671405695295	0.15955474565117503	0.025457716859811158	-0.2605331324343535	-0.6086306181287947	-0.6463455374293056
b2068	30.0	4.479497926522697	0.5923230608275835	2.82986761657407	4.059082707946235	4.455249447482695	4.845859520491314	5.59157949113881	0.13222978792343956	0.0174847168142778	-0.26736573473032516	-0.46615852043391853	-0.40983424438718785
b2069	30.0	4.508975288260269	0.750641275777097	3.132617291967515	4.107679873968258	4.585732943822545	4.868352052972838	6.15570820956303	0.16647713233902472	0.027714635591825153	-0.010867339639545887	-0.02401181116762759	-0.15997330169076443
b2070	30.0	3.2145823071564363	0.6638936952856096	1.96612072491068	2.658738081819105	3.2822172895793025	3.646608839777896	4.73608770716314	0.20652564838909923	0.04265284344253785	-0.34886536300658655	-0.6817507661473432	-0.6601401754054216
b2074	30.0	4.299036149914827	0.5768413876791657	2.80943162071859	3.912977384714245	4.30664394540514	4.723449656346891	5.441052183486965	0.1341792363598976	0.018004067470125264	-0.13020355940926878	-0.2210795170952616	-0.30681944788812815
b2075	30.0	3.824995036552039	0.5470424228398952	2.47322154426457	3.5197464405543726	3.8501523497100747	4.229549419817541	4.98568812014304	0.14301781247094508	0.020454094683974414	-0.253378693969078	-0.4080001640584439	-0.4438758510056676
b2076	30.0	3.678389227107778	0.5318525860460857	2.41807266921234	3.3403556521808664	3.819766700316065	4.032285072922481	4.758401523356724	0.1445884470644417	0.020905819024506864	-0.3081456342895688	-0.4824102556234844	-0.5255312080578382
b2077	30.0	3.1855919774031483	0.6279064085694863	1.69177410286829	2.798882383523802	3.1655970442760903	3.6185414353422547	4.480534843719456	0.19710823389295046	0.03885165586839807	-0.2698976928572745	-0.49884236007749544	-0.5600178029981281
b2078	30.0	3.6160336671802944	0.5234952888440615	2.45921550523206	3.3049042633483294	3.5448513023159878	3.9835696037214303	4.51711354165082	0.1447705793215891	0.02095852063710852	-0.32284976670445	-0.4974878654715524	-0.5070641927027151
b2079	30.0	5.672890609456512	0.49974894472506304	4.8964543590182	5.308326135352383	5.698158080426502	5.979692930935743	6.63161806409706	0.08809423257554075	0.007760593813073464	-0.06057373454051076	-0.08910569731585419	-0.02714428763042178
b2080	30.0	6.598781183995265	2.210281700833357	1.72676735139906	5.013802363629385	6.924814048693488	8.290709760051866	9.91788035077856	0.33495302226329177	0.11219352712331324	-0.10568246758546668	-0.6875745776714484	-0.7124263032181192
b2081	30.0	6.596783498721889	0.9195532894771464	4.75219868043074	5.896370549917142	6.6766124781765805	7.2232138161249395	8.32889902217797	0.1393941895554565	0.019430740081822533	-0.07452678753663342	-0.2017244505790701	-0.2767827361659401
