Gene	count	mean	std	min	25_percentile	50_percentile	75_percentile	max	cv	noise	lin_slope	lin_r	spearmans_rho
relA	20.0	1.1858913824460269	0.13481418681387572	1.0238042852096387	1.0919228950040973	1.1496271171440196	1.2530398279895247	1.4877503987245102	0.11368173241617385	0.012923536285142553	-1.3990473160829149	-0.4796781632783305	-0.44319049415978823
uspF	20.0	2.8259739997955	0.3174452546485149	2.2942133470518304	2.5506314706805937	2.9287229884369044	3.031722330318935	3.3523475429461436	0.11233127221676019	0.012618314717835881	-0.7700183457282429	-0.6216584781067561	-0.8623027271767694
uspG	20.0	2.4485706085862184	0.13754178115510882	2.220359860237401	2.3539746741022753	2.424712737203817	2.560320215148646	2.6880116038424564	0.05617227482548447	0.003155324459069756	-0.3400449732557737	-0.11894685194919086	-0.312264949195776
yhcB	20.0	2.932130591585449	0.07829558838183595	2.8070387591813315	2.875059172208738	2.9205355270578837	2.9812311058833245	3.0712500553844104	0.026702626617834336	0.0007130302682914749	-0.6665415922775403	-0.13272309357217205	-0.2490595136959081
yifE	20.0	3.0583667211962124	0.09329652887621322	2.8903642761758426	2.993570872888487	3.0694698699869356	3.125567861915867	3.204054753372117	0.030505343989527308	0.0009305760119193898	0.31530689573854714	0.07481366040252421	0.467268755302595
bamB	20.0	2.291197297878288	0.0447726392878316	2.2081447697848455	2.271460031638645	2.2866418564678153	2.304766398479191	2.42429670458144	0.019541154019905794	0.00038185670042968026	0.5630543427151049	0.06411283152248631	0.09781793589265274
curA	20.0	2.1320366276528477	0.2026278311736207	1.6600565329161896	2.0236517627311446	2.1615267356221994	2.254249251213772	2.5178024138400166	0.09503956383558618	0.00903251869405846	-1.5565840306037302	-0.8021463574379272	-0.7291198452306193
hflX	20.0	1.7018389071145676	0.08424967469662054	1.545696639201277	1.6572918211027692	1.7140973370127193	1.763145568565911	1.8233443171493557	0.049505082028864944	0.0024507531466846466	-1.0972636621620626	-0.23510462829650122	-0.26862310087443864
hns	20.0	3.8049066061858845	0.09050846838344227	3.550684877688638	3.7650310111694676	3.818599179357297	3.8808756179592985	3.917974668284356	0.02378730354019643	0.0005658358097134416	-1.2809935245367707	-0.2948615194504676	-0.5101581579632197
stpA	20.0	2.8380872077714256	0.2126744680597005	2.465135556555981	2.743138463852264	2.8140883244526878	2.897812797487107	3.428885999603642	0.0749358467482402	0.005615381127875742	0.2162000447982592	0.11693730589309177	0.5191875058917722
ydfG	20.0	2.638466102140053	0.0816176336477121	2.401535246468074	2.6162751547348106	2.655743532481208	2.688506853354685	2.756358463078091	0.030933743504042842	0.0009568964871739127	-3.75479989995084	-0.779386261006515	-0.47780299455257297
bamD	20.0	2.3148959913390352	0.10449402980775321	2.11185136102705	2.2301618534473144	2.3304104629964795	2.387055929200746	2.525594607682537	0.04513983790144687	0.0020376049657688995	1.7707283326007226	0.4705712212233846	0.5568097889274078
rsgA	20.0	1.772537950031665	0.06640096853491877	1.6732412384588646	1.7251465648924025	1.7515633691584998	1.8141104533801413	1.9145778713795771	0.03746095734296271	0.0014033233250512719	-1.4965839321022585	-0.25273037477400406	0.0015048913214254266
yniC	20.0	1.927688425637183	0.10667058851604112	1.660228074387343	1.86289706145677	1.958674245557743	2.008340176554991	2.0688742073854423	0.05533601130627838	0.003062074147288569	1.885094816223047	0.511398958770877	0.47629810323114746
yfeX	20.0	2.03997004641569	0.0792368288842665	1.917590465811144	1.9822145512619544	2.0488415561932527	2.071876082841514	2.256419084226048	0.03884215311077181	0.0015087128582806405	1.0467559533375206	0.2109378305808257	-0.015048913214254268
cysQ	20.0	2.2784262333227776	0.1196160191117254	2.070472152061407	2.177479981052497	2.3031693476548956	2.340365770904569	2.4949147310826874	0.0524994039141138	0.0027561874113372674	-2.0319145423268203	-0.6181256027552003	-0.5109106036239324
phoU	20.0	1.8706855173108288	0.10389012360080903	1.5861171884143224	1.8225135820842904	1.8920903393975197	1.9476561924620075	2.0212721207474913	0.055535857117317323	0.0030842314257550855	-0.7040575109199083	-0.18602201655966902	-0.5124154949453578
fdhE	20.0	1.808510743072878	0.12314550567020274	1.6836925245160403	1.7466266257221004	1.788466439695831	1.8399798016142295	2.2794357923130217	0.06809221683746466	0.004636549993840305	2.35237890878021	0.7367290458512721	0.30624538391007433
glnD	20.0	1.495312407278926	0.09441790818385598	1.2865962024789357	1.4534446148864497	1.4894563447020728	1.57320887894811	1.6354355612888336	0.06314259664017077	0.003986987510463306	-0.9959955705443857	-0.23916285578945218	-0.6455983768915081
grxB	20.0	2.695795122704018	0.20729525809610092	2.239938983681383	2.605418436441699	2.7278821055065317	2.7824485031840362	3.202399497965461	0.07689577607372973	0.005912960377981185	-0.8974986927857616	-0.47315686049502015	-0.03762228303563567
ppiA	20.0	2.57304812893862	0.12065994110962688	2.4018395996234214	2.4722343340811936	2.541047744129992	2.682603454881245	2.788631112910653	0.04689377542245936	0.0021990261733720535	-1.0501523082082007	-0.3222532822048217	-0.30097826428508534
tpx	20.0	3.7411857282251924	0.0777113880151158	3.540846023551433	3.691167740973704	3.744013820812017	3.7865354260973376	3.904570658243735	0.02077186049033226	0.00043147018822982646	-2.320314259845708	-0.4585782199790795	0.0955605989105146
yghU	20.0	2.280525237195818	0.18474489085604381	1.768247788631822	2.218195641258292	2.318525936522149	2.4037614950681347	2.541423044147461	0.08100979890194508	0.006562587518133581	-1.9964057897394094	-0.938000795223398	-0.9601206630694221
sohB	20.0	1.9180544326922082	0.09972318437812942	1.7096050091980974	1.8824730294531256	1.9280775417443576	1.9524240033735967	2.089587189465877	0.051991842712282445	0.002703151708618717	-1.9075387487613653	-0.483783949739058	0.11813396873189601
ddlA	20.0	1.434735666189685	0.2767574767564755	1.0421861820229104	1.2612971854801542	1.3863193532147142	1.5586261399378565	2.037919947315873	0.1928978858464411	0.03720959436402663	1.20528571351685	0.8483426868480909	0.7893154980876363
mdtE	20.0	0.42997897946213054	0.3547866888277626	0.1060253790083223	0.25119529459257645	0.3206983028382582	0.4429670471297813	1.7070137893011372	0.8251256590998297	0.6808323533049284	0.04139746394690522	0.037352786280221616	0.07750190305340948
rdgC	20.0	1.9459831309203246	0.07259137080653455	1.8211870996644322	1.8811803283746795	1.962277890397798	1.9964210621885445	2.0636823612826216	0.03730318606215436	0.0013915276903877071	1.008867715693081	0.1862520970962466	0.3446201126064227
ihfA	20.0	3.0113424972162983	0.10864573941305494	2.7621499322500154	2.9643169576766994	3.0033054019984906	3.1134106100627665	3.1639419286642223	0.03607883842953356	0.0013016825824243876	-2.6381330606951843	-0.7289392666830958	-0.3130173948564887
cysB	20.0	1.9094490556834578	0.07644313817381057	1.6971432637109787	1.8709703895289724	1.9052854458953767	1.9366181405336176	2.070168601889454	0.0400341333780434	0.0016027318353309687	-0.24867436808264315	-0.048344990553431486	0.04665163096418823
kdgR	20.0	2.096409054418495	0.0596218333016318	1.958943110645229	2.0630026362878766	2.1073346089310356	2.139838083498592	2.179430742356227	0.028439980821476557	0.0008088325091259544	-3.528680481415571	-0.5350564580162461	-0.5056434839989433
lrp	20.0	3.1575509258560324	0.15728721493575426	2.6307914449928194	3.1351803883912903	3.1773611649546556	3.216075883726371	3.353804142637043	0.04981304138209986	0.002481339091734793	-2.309723643659966	-0.9239221770745302	-0.5628293542131095
rplK	20.0	3.209814314117357	0.1312925254084042	2.9904361880891877	3.1415162215755372	3.2108588324268696	3.2564332305639843	3.5202224891415024	0.04090346436270639	0.0016730933968711922	2.675539991631284	0.893374183083929	0.9104592494623831
rplY	20.0	3.495599767787481	0.11346684344916332	3.2833437212337473	3.430436556131766	3.497908963346813	3.5825002934206083	3.7387799328644884	0.03245990702218792	0.0010536455638890845	2.8368487533481868	0.8186289603070072	0.9285179453194884
rpsI	20.0	3.172828542235496	0.10139814014670606	3.012202640626253	3.079240490961021	3.182272431060282	3.244392503013572	3.3988013437385085	0.031958279118121984	0.0010213316041917915	3.079574722557631	0.7941502639213083	0.8118888679090176
accD	20.0	2.4774556461246737	0.11002121535357925	2.2473843702830325	2.3937608834131803	2.4989936401340653	2.5591614300340875	2.6164681598352413	0.04440895461667636	0.001972155250146021	1.0778699702393169	0.3015954322535125	0.21820924160668687
fadL	20.0	2.5242767968175985	0.41694039713347464	1.8269323741027865	2.082220653127822	2.605900475596113	2.8099109163901006	3.1042436000616322	0.16517221790380474	0.027281861567261957	-0.25530426204354695	-0.27071604075588807	-0.7727616935519567
psd	20.0	2.446192900188886	0.06114909596294868	2.34755644949872	2.402958972707013	2.4417892284827256	2.5026961526699507	2.55786299872418	0.024997658998285446	0.0006248829553945613	-3.1675673884424382	-0.492603907995049	-0.43566603755266103
fadD	20.0	1.7268993862036126	0.23212506054485388	1.2786544051017743	1.561684097643059	1.7651358907920391	1.8247637963663845	2.127725506296445	0.1344172465398542	0.018067996167355944	-0.3664063767491722	-0.21630522111512052	-0.6049663112130215
yghA	20.0	1.4811940619448514	0.28497403380735425	0.9741129091971064	1.3522764067833726	1.5046145460001814	1.6408174089462535	1.9844651213930042	0.192394798986147	0.03701575867691991	-0.9373194103023301	-0.6793207018343446	-0.632806800659392
moaB	20.0	2.74114691413803	0.1806078906945881	2.469626966162986	2.637394466372979	2.717989546172448	2.8036660509998788	3.1473855142615283	0.06588770917861633	0.004341190220805924	-0.5283330365965824	-0.2426757819025716	0.05793831587487893
ubiD	20.0	1.8787110404788745	0.1482322918926553	1.6161018275699959	1.7860951810470649	1.8629594566280763	1.9407168029334447	2.1893125022520468	0.07890105966209236	0.006225377215801059	-0.4906699896004424	-0.18497552518894564	-0.5124154949453578
nagB	20.0	2.2525621270910015	0.1936126070473518	1.9597710250363416	2.1354395601327907	2.253690799196219	2.3422913470071824	2.833343985052403	0.08595217184859028	0.007387775845489596	-0.9764691165212761	-0.480810666997083	-0.6689241923736021
uxaC	20.0	1.6357924821785599	0.13666213536168198	1.366011116295378	1.5783104162442738	1.6596978959813007	1.7150841688169556	1.840692724336023	0.0835449097917814	0.006979751952116893	-1.0844911030319648	-0.37692604274099395	-0.5951845176237562
dhaM	20.0	1.6134362921688097	0.2677802492757523	1.2267446844359005	1.3708134612406941	1.5842208210326185	1.8639962130359329	1.994605680358878	0.16596890163899644	0.027545676311254874	0.6017816232480403	0.4098259101824368	0.737396747498459
manZ	20.0	1.9950025779970968	0.3711639750574658	1.5396340966430733	1.7382664902304863	1.8419937632768226	2.204735279169298	2.7497242943529074	0.1860468648767861	0.03461343593048111	-0.3774311844877332	-0.35627516212093363	-0.22422880689238858
ytfQ	20.0	1.9488516851074524	0.502257581664889	1.182907639798094	1.581817058783407	2.007847857495728	2.227857306547481	2.899922327465918	0.25771975646119855	0.06641947287041948	-0.40393211857229333	-0.5159609547448651	-0.8562831618910678
purU	20.0	2.502340469813251	0.13452453969283049	2.1919866141518423	2.436176199877439	2.48801950546902	2.596861662619431	2.751246034020844	0.053759486894631094	0.0028900824311740123	-1.1606897240314396	-0.39709974054473757	0.37095571073136774
cpdB	20.0	1.6760324085433904	0.16283525436129806	1.326810577452284	1.597202152199431	1.7301516611390872	1.80910896496398	1.8501441795513194	0.09715519433351247	0.009439131785982574	-0.16980038813494558	-0.07031841364225175	-0.5876600610166292
argC	20.0	2.2994271071949575	0.293136353894499	1.4444148223679356	2.3023222717550533	2.356927524579408	2.4427149245715363	2.560903524258622	0.12748234243967507	0.016251747633906577	-1.0124813082212851	-0.7548117377964664	0.3205418514636159
cysM	20.0	2.3233020168794427	0.13468545866374498	1.8665674462089128	2.280769274046965	2.35707326332472	2.399513346532139	2.4829844962796397	0.05797156705637805	0.003360702586972137	-1.4835427731145951	-0.5081626380610202	0.267870655213726
pepT	20.0	1.7615178685515769	0.14837903190681984	1.3813528653167788	1.7238766758530473	1.806198826900272	1.8428605684952213	1.9486601556874454	0.08423362292022946	0.007095303230267404	-2.3648496198126647	-0.8923968150256585	-0.708803812391376
selA	20.0	1.560736358680304	0.11054218799011338	1.2268579470011585	1.5060420296150479	1.6026646575667125	1.6316810234343313	1.7126502224645308	0.07082694484261481	0.0050164561157388	-2.793500462254317	-0.785341871649782	-0.4326562549098102
ybiB	20.0	2.166954670638565	0.12854414488496962	2.011460680618001	2.0397436686546375	2.152049084055996	2.2383224761789933	2.4523051226640766	0.05932018174016064	0.0035188839616856877	-0.9222908529894623	-0.3015102981334061	-0.11813396873189601
dapA	20.0	2.854040050381708	0.10660669835690834	2.5900761441390214	2.7850663727689238	2.861829665616129	2.9259204204023086	3.0027033434889407	0.037352909025453386	0.001395239812663797	-0.22910204637369605	-0.06211484571519752	0.4326562549098102
dppF	20.0	2.0204797646757773	0.22238849747112333	1.451074469484752	1.9929886375433992	2.059992800617298	2.147427603740645	2.35656959715889	0.11006717382631624	0.012114782754112517	-0.8055957889478044	-0.4556291035905275	-0.47253587492758403
gss	20.0	1.3236641342150324	0.25300843496172687	1.0623289232400739	1.1586905526630207	1.234105748427048	1.5159463003684606	1.9244110892271322	0.1911424721889647	0.03653544467450914	-0.047452757552931074	-0.03053362759200782	0.3641836997849533
sufS	20.0	1.9150134499665437	0.20842453108190068	1.3284015679282302	1.8760670269044524	1.9154341284850631	2.0023019042373362	2.426462984991419	0.1088371108231861	0.011845516692338496	-1.1900083695251933	-0.6307841877539775	-0.1414597842139901
trpC	20.0	1.977399299290718	0.31680442991334623	1.0595377190896018	2.0038114771571287	2.0324018986083354	2.1096747123550865	2.209572570929269	0.16021267430760303	0.025668101008794086	-1.0295045064418558	-0.8294714584941856	0.07674945739269677
